qa	['阿', '啊']
qeoj	['哀', '埃', '唉', '欸']
qeejq	['挨', '唉']
qeojq	['挨', '欸']
ngajh	['哎', '艾']
qajh	['哎', '藹', '曖']
ngee	['捱', '崖', '涯']
ngeem	['癌']
qeeq	['矮']
qeojh	['愛', '曖']
ngyojh	['艾']
ngeojh	['礙']
qeeh	['隘']
qan	['安', '鞍', '氨']
qom	['庵', '諳']
qop	['庵']
ngomq	['俺']
qyemh	['俺']
qyomh	['俺', '淹']
qanh	['按', '案']
qomh	['暗']
qeem	['黯']
qeemq	['黯']
nganh	['岸']
ghangq	['骯', '吭']
khangq	['骯', '慷']
ngang	['昂']
qangh	['盎']
qangq	['盎', '映']
qeep	['凹']
ngaw	['熬', '遨']
qawq	['襖', '懊', '夭']
qaewq	['拗']
qawh	['奧', '澳', '懊']
quk	['澳', '懊', '噢', '郁']
ngawh	['傲']
peet	['八', '扒', '捌']
peejh	['扒', '拜']
pyet	['扒', '別']
pheet	['叭', '趴']
pae	['巴', '芭', '疤', '吧', '笆']
phae	['吧']
baeq	['笆']
paet	['捌']
bat	['拔', '跋']
beet	['拔']
buot	['拔', '罰', '伐', '閥', '筏']
paeq	['把']
paeh	['靶', '耙', '霸', '壩']
baeh	['耙', '杷']
baq	['爸']
beeq	['罷']
bye	['罷', '皮', '疲']
byeq	['罷', '被']
peek	['掰']
baek	['白', '舶', '帛']
paek	['百', '伯', '柏', '迫']
peeq	['擺']
baejh	['敗']
paejh	['敗']
paen	['班', '斑', '般', '頒', '扳']
ban	['般', '繁', '盤', '胖']
pan	['般', '搬']
bun	['頒', '氛', '焚', '墳']
phaen	['扳', '攀']
paenq	['板', '版', '舨', '闆']
pheenq	['闆']
panh	['半', '絆']
banh	['伴', '叛', '畔']
banq	['伴', '拌']
phan	['拌', '番', '潘']
bunq	['扮', '墳', '憤']
keet	['扮', '秸', '楔']
peenh	['扮']
pun	['扮', '分', '吩']
punq	['扮', '粉']
beenh	['辦', '瓣', '辨']
poeung	['邦']
pang	['幫']
baeng	['榜', '棚', '彭', '膨', '澎']
paengh	['榜']
pangq	['榜', '螃']
bang	['膀', '傍', '房', '彷', '旁', '螃']
poeungq	['綁']
bangh	['傍', '徬']
phaeng	['磅', '亨', '烹', '澎']
phang	['磅', '鎊', '乓']
pangh	['謗', '螃']
boeungq	['蚌', '棒']
paew	['包', '胞', '苞']
