Crank Angle	PCYL1	
deg	bar	
-360	0.9325	
-359	0.9145	
-358	0.8905	
-357	0.8485	
-356	0.8185	
-355	0.7705	
-354	0.7345	
-353	0.7345	
-352	0.6805	
-351	0.6025	
-350	0.5365	
-349	0.5185	
-348	0.5005	
-347	0.4465	
-346	0.3985	
-345	0.3865	
-344	0.3865	
-343	0.3385	
-342	0.2965	
-341	0.3385	
-340	0.3325	
-339	0.2905	
-338	0.2905	
-337	0.3265	
-336	0.2965	
-335	0.3025	
-334	0.3025	
-333	0.2665	
-332	0.2785	
-331	0.2905	
-330	0.2965	
-329	0.2725	
-328	0.2545	
-327	0.2665	
-326	0.2725	
-325	0.2605	
-324	0.2725	
-323	0.2785	
-322	0.2665	
-321	0.2605	
-320	0.2485	
-319	0.2665	
-318	0.2545	
-317	0.2605	
-316	0.2605	
-315	0.2485	
-314	0.2365	
-313	0.2365	
-312	0.2425	
-311	0.2485	
-310	0.2425	
-309	0.2365	
-308	0.2305	
-307	0.2185	
-306	0.2245	
-305	0.2245	
-304	0.2365	
-303	0.2245	
-302	0.2185	
-301	0.2245	
-300	0.2245	
-299	0.2425	
-298	0.2305	
-297	0.2365	
-296	0.2245	
-295	0.2425	
-294	0.2665	
-293	0.2605	
-292	0.2545	
-291	0.2725	
-290	0.2665	
-289	0.2725	
-288	0.2905	
-287	0.2905	
-286	0.2785	
-285	0.2845	
-284	0.2905	
-283	0.2965	
-282	0.3025	
-281	0.3085	
-280	0.2905	
-279	0.2965	
-278	0.2965	
-277	0.3025	
-276	0.3205	
-275	0.3145	
-274	0.3145	
-273	0.3145	
-272	0.3085	
-271	0.3145	
-270	0.3325	
-269	0.3205	
-268	0.3265	
-267	0.3265	
-266	0.3205	
-265	0.3145	
-264	0.3445	
-263	0.3445	
-262	0.3265	
-261	0.3265	
-260	0.3385	
-259	0.3325	
-258	0.3505	
-257	0.3445	
-256	0.3505	
-255	0.3505	
-254	0.3385	
-253	0.3565	
-252	0.3445	
-251	0.3625	
-250	0.3505	
-249	0.3565	
-248	0.3505	
-247	0.3625	
-246	0.3685	
-245	0.3625	
-244	0.3685	
-243	0.3625	
-242	0.3565	
-241	0.3565	
-240	0.3625	
-239	0.3625	
-238	0.3685	
-237	0.3565	
-236	0.3505	
-235	0.3625	
-234	0.3685	
-233	0.3685	
-232	0.3565	
-231	0.3625	
-230	0.3565	
-229	0.3565	
-228	0.3565	
-227	0.3625	
-226	0.3565	
-225	0.3625	
-224	0.3565	
-223	0.3505	
-222	0.3565	
-221	0.3625	
-220	0.3505	
-219	0.3565	
-218	0.3565	
-217	0.3505	
-216	0.3445	
-215	0.3565	
-214	0.3565	
-213	0.3385	
-212	0.3385	
-211	0.3445	
-210	0.3505	
-209	0.3565	
-208	0.3565	
-207	0.3445	
-206	0.3325	
-205	0.3385	
-204	0.3565	
-203	0.3565	
-202	0.3505	
-201	0.3445	
-200	0.3325	
-199	0.3445	
-198	0.3325	
-197	0.3445	
-196	0.3265	
-195	0.3385	
-194	0.3325	
-193	0.3325	
-192	0.3505	
-191	0.3505	
-190	0.3445	
-189	0.3385	
-188	0.3265	
-187	0.3505	
-186	0.3445	
-185	0.3445	
-184	0.3445	
-183	0.3265	
-182	0.3445	
-181	0.3505	
-180	0.3385	
-179	0.3445	
-178	0.3325	
-177	0.3325	
-176	0.3445	
-175	0.3445	
-174	0.3325	
-173	0.3565	
-172	0.3325	
-171	0.3325	
-170	0.3265	
-169	0.3325	
-168	0.3325	
-167	0.3265	
-166	0.3385	
-165	0.3325	
-164	0.3445	
-163	0.3265	
-162	0.3445	
-161	0.3505	
-160	0.3325	
-159	0.3265	
-158	0.3325	
-157	0.3265	
-156	0.3325	
-155	0.3325	
-154	0.3385	
