Crank Angle	PCYL1	
deg	bar	
-360	0.9524	
-359	0.9164	
-358	0.8684	
-357	0.8264	
-356	0.7724	
-355	0.7244	
-354	0.6764	
-353	0.6164	
-352	0.5684	
-351	0.5024	
-350	0.4604	
-349	0.4124	
-348	0.3944	
-347	0.3584	
-346	0.3284	
-345	0.3224	
-344	0.2984	
-343	0.3044	
-342	0.2984	
-341	0.2984	
-340	0.2864	
-339	0.2744	
-338	0.2684	
-337	0.2744	
-336	0.2624	
-335	0.2564	
-334	0.2564	
-333	0.2444	
-332	0.2444	
-331	0.2504	
-330	0.2504	
-329	0.2564	
-328	0.2624	
-327	0.2564	
-326	0.2564	
-325	0.2744	
-324	0.2924	
-323	0.2984	
-322	0.3044	
-321	0.2984	
-320	0.3164	
-319	0.3284	
-318	0.3284	
-317	0.3464	
-316	0.3344	
-315	0.3344	
-314	0.3404	
-313	0.3644	
-312	0.3584	
-311	0.3584	
-310	0.3464	
-309	0.3584	
-308	0.3584	
-307	0.3584	
-306	0.3644	
-305	0.3644	
-304	0.3644	
-303	0.3584	
-302	0.3704	
-301	0.3644	
-300	0.3584	
-299	0.3584	
-298	0.3644	
-297	0.3464	
-296	0.3404	
-295	0.3464	
-294	0.3344	
-293	0.3344	
-292	0.3284	
-291	0.3224	
-290	0.3104	
-289	0.3104	
-288	0.3164	
-287	0.3104	
-286	0.3164	
-285	0.3044	
-284	0.2984	
-283	0.2804	
-282	0.2864	
-281	0.2924	
-280	0.2864	
-279	0.2804	
-278	0.2744	
-277	0.2864	
-276	0.2924	
-275	0.2924	
-274	0.2744	
-273	0.2864	
-272	0.2804	
-271	0.2744	
-270	0.2984	
-269	0.2924	
-268	0.2864	
-267	0.2924	
-266	0.2924	
-265	0.2984	
-264	0.3104	
-263	0.3164	
-262	0.2984	
-261	0.3044	
-260	0.3044	
-259	0.3104	
-258	0.3284	
-257	0.3224	
-256	0.3104	
-255	0.3224	
-254	0.3344	
-253	0.3284	
-252	0.3404	
-251	0.3344	
-250	0.3284	
-249	0.3404	
-248	0.3284	
-247	0.3464	
-246	0.3464	
-245	0.3404	
-244	0.3404	
-243	0.3464	
-242	0.3344	
-241	0.3464	
-240	0.3524	
-239	0.3584	
-238	0.3524	
-237	0.3464	
-236	0.3464	
-235	0.3464	
-234	0.3464	
-233	0.3404	
-232	0.3404	
-231	0.3464	
-230	0.3284	
-229	0.3404	
-228	0.3284	
-227	0.3404	
-226	0.3284	
-225	0.3284	
-224	0.3344	
-223	0.3284	
-222	0.3284	
-221	0.3284	
-220	0.3284	
-219	0.3224	
-218	0.3164	
-217	0.3284	
-216	0.3284	
-215	0.3164	
-214	0.3224	
-213	0.3164	
-212	0.3104	
-211	0.3164	
-210	0.3044	
-209	0.3164	
-208	0.3104	
-207	0.3044	
-206	0.3104	
-205	0.3104	
-204	0.3164	
-203	0.3224	
-202	0.3104	
-201	0.3104	
-200	0.3104	
-199	0.3224	
-198	0.3104	
-197	0.3164	
-196	0.3104	
-195	0.3224	
-194	0.3284	
-193	0.3104	
-192	0.3104	
-191	0.3284	
-190	0.3284	
-189	0.3164	
-188	0.3224	
-187	0.3284	
-186	0.3284	
-185	0.3344	
-184	0.3284	
-183	0.3284	
-182	0.3164	
-181	0.3284	
-180	0.3404	
-179	0.3404	
-178	0.3464	
-177	0.3284	
-176	0.3464	
-175	0.3284	
-174	0.3404	
-173	0.3524	
-172	0.3464	
-171	0.3404	
-170	0.3524	
-169	0.3464	
-168	0.3344	
-167	0.3464	
-166	0.3464	
-165	0.3464	
-164	0.3464	
-163	0.3344	
-162	0.3464	
-161	0.3584	
-160	0.3464	
-159	0.3524	
-158	0.3464	
-157	0.3584	
-156	0.3464	
-155	0.3524	
-154	0.3464	
-153	0.3404	
-152	0.3524	
-151	0.3524	
-150	0.3524	
-149	0.3644	
-148	0.3524	
-147	0.3584	
-146	0.3464	
-145	0.3584	
-144	0.3584	
-143	0.3584	
-142	0.3584	
-141	0.3464	
-140	0.3584	
-139	0.3524	
-138	0.3584	
-137	0.3644	
-136	0.3644	
-135	0.3584	
-134	0.3584	
-133	0.3644	
-132	0.3704	
-131	0.3824	
-130	0.3704	
-129	0.3764	
-128	0.3704	
-127	0.3764	
-126	0.3944	
-125	0.4004	
-124	0.3944	
-123	0.3944	
-122	0.3884	
-121	0.3884	
-120	0.4064	
-119	0.4184	
-118	0.4124	
-117	0.4184	
-116	0.4124	
-115	0.4244	
-114	0.4364	
-113	0.4364	
-112	0.4364	
-111	0.4424	
-110	0.4424	
-109	0.4484	
-108	0.4544	
-107	0.4544	
-106	0.4484	
-105	0.4664	
-104	0.4664	
-103	0.4784	
-102	0.5024	
-101	0.4904	
-100	0.5084	
-99	0.4904	
-98	0.5024	
-97	0.5204	
-96	0.5024	
-95	0.5084	
-94	0.5264	
-93	0.5324	
-92	0.5264	
-91	0.5564	
-90	0.5624	
-89	0.5684	
-88	0.5684	
-87	0.5684	
-86	0.5744	
-85	0.5924	
-84	0.5864	
-83	0.6044	
-82	0.6284	
-81	0.6464	
-80	0.6584	
-79	0.6764	
-78	0.7124	
-77	0.7364	
-76	0.7604	
-75	0.7664	
-74	0.7844	
-73	0.8084	
-72	0.8204	
-71	0.8504	
-70	0.8624	
-69	0.8804	
-68	0.9164	
-67	0.9284	
-66	0.9524	
-65	0.9824	
-64	1.0064	
-63	1.0184	
-62	1.0424	
-61	1.0784	
-60	1.1204	
-59	1.1444	
-58	1.1924	
-57	1.2224	
-56	1.2584	
-55	1.2884	
-54	1.3424	
-53	1.3664	
-52	1.4204	
-51	1.4564	
-50	1.5044	
-49	1.5404	
-48	1.6004	
-47	1.6604	
-46	1.7084	
-45	1.7684	
-44	1.8224	
-43	1.8884	
-42	1.9544	
-41	2.0264	
-40	2.0804	
-39	2.1524	
-38	2.2364	
-37	2.3144	
-36	2.4044	
-35	2.4824	
-34	2.5784	
-33	2.6504	
-32	2.7584	
-31	2.8544	
-30	2.9504	
-29	3.0524	
-28	3.1724	
-27	3.2684	
-26	3.3704	
-25	3.5024	
-24	3.6224	
-23	3.7604	
-22	3.8804	
-21	4.0004	
-20	4.1264	
-19	4.2524	
-18	4.3904	
-17	4.5224	
-16	4.6424	
-15	4.7624	
-14	4.8944	
-13	5.0204	
-12	5.1464	
-11	5.2664	
-10	5.4044	
-9	5.5124	
-8	5.6384	
-7	5.7644	
-6	5.9084	
-5	6.0344	
-4	6.1784	
-3	6.3224	
-2	6.4904	
-1	6.6524	
0	6.8204	
1	7.0004	
2	7.1624	
3	7.3544	
4	7.5524	
5	7.7504	
6	7.9784	
7	8.2064	
8	8.4284	
9	8.6264	
10	8.8364	
11	9.0104	
12	9.1724	
13	9.2864	
14	9.3824	
15	9.4244	
16	9.4364	
17	9.4424	
18	9.4184	
19	9.3584	
20	9.2624	
21	9.1424	
22	9.0164	
23	8.8604	
24	8.6984	
25	8.5004	
26	8.2844	
27	8.0684	
28	7.8464	
29	7.6124	
30	7.3964	
31	7.1624	
32	6.9404	
33	6.7184	
34	6.5084	
35	6.2984	
36	6.0944	
37	5.9024	
38	5.7044	
39	5.5064	
40	5.3384	
41	5.1704	
42	5.0024	
43	4.8524	
44	4.6904	
45	4.5464	
46	4.4024	
47	4.2644	
48	4.1444	
49	4.0304	
50	3.9044	
51	3.7724	
52	3.6584	
53	3.5804	
54	3.4784	
55	3.3884	
56	3.2744	
57	3.1904	
58	3.1124	
59	3.0164	
60	2.9624	
61	2.8844	
62	2.8124	
63	2.7344	
64	2.6744	
65	2.6024	
66	2.5484	
67	2.5004	
68	2.4404	
69	2.3744	
70	2.3264	
71	2.2664	
72	2.2364	
73	2.1884	
74	2.1404	
75	2.0924	
76	2.0564	
77	2.0144	
78	1.9784	
79	1.9424	
80	1.9064	
81	1.8704	
82	1.8284	
83	1.8044	
84	1.7864	
85	1.7504	
86	1.7204	
87	1.6904	
88	1.6604	
89	1.6424	
90	1.6244	
91	1.5884	
92	1.5524	
93	1.5404	
94	1.5164	
95	1.4924	
96	1.4864	
97	1.4624	
98	1.4384	
99	1.4144	
100	1.3964	
101	1.3724	
102	1.3724	
103	1.3604	
104	1.3424	
105	1.3064	
106	1.3064	
107	1.2884	
108	1.2824	
109	1.2704	
110	1.2584	
111	1.2284	
112	1.2224	
113	1.2104	
114	1.1924	
115	1.1984	
116	1.1804	
117	1.1624	
118	1.1564	
119	1.1564	
120	1.1504	
121	1.1384	
122	1.1384	
123	1.1264	
124	1.1084	
125	1.0844	
126	1.1024	
127	1.0964	
128	1.0784	
129	1.0724	
130	1.0604	
131	1.0604	
132	1.0544	
133	1.0424	
134	1.0304	
135	1.0364	
136	1.0244	
137	1.0304	
138	1.0304	
139	1.0244	
140	1.0064	
141	1.0064	
142	0.9944	
143	1.0004	
144	1.0064	
145	1.0244	
146	1.0124	
147	1.0064	
148	1.0004	
149	1.0064	
150	1.0124	
151	1.0184	
152	1.0124	
153	1.0184	
154	1.0064	
155	1.0244	
156	1.0244	
157	1.0304	
158	1.0304	
159	1.0364	
160	1.0244	
161	1.0304	
162	1.0664	
163	1.0544	
164	1.0604	
165	1.0544	
166	1.0544	
167	1.0604	
168	1.0784	
169	1.0724	
170	1.0784	
171	1.0724	
172	1.0664	
173	1.0844	
174	1.0664	
175	1.0844	
176	1.0844	
177	1.0664	
178	1.0664	
179	1.0844	
180	1.0784	
181	1.0784	
182	1.0724	
183	1.0664	
184	1.0544	
185	1.0604	
186	1.0664	
187	1.0604	
188	1.0544	
189	1.0544	
190	1.0484	
191	1.0544	
192	1.0544	
193	1.0724	
194	1.0424	
195	1.0484	
196	1.0484	
197	1.0544	
198	1.0544	
199	1.0544	
200	1.0544	
201	1.0544	
202	1.0604	
203	1.0604	
204	1.0664	
205	1.0544	
206	1.0664	
207	1.0424	
208	1.0544	
209	1.0484	
210	1.0604	
211	1.0544	
212	1.0544	
213	1.0544	
214	1.0484	
215	1.0544	
216	1.0544	
217	1.0544	
218	1.0604	
219	1.0544	
220	1.0364	
221	1.0484	
222	1.0424	
223	1.0544	
224	1.0424	
225	1.0484	
226	1.0424	
227	1.0544	
228	1.0604	
229	1.0484	
230	1.0544	
231	1.0424	
232	1.0484	
233	1.0544	
234	1.0604	
235	1.0724	
236	1.0664	
237	1.0544	
238	1.0664	
239	1.0664	
240	1.0604	
241	1.0724	
242	1.0724	
243	1.0724	
244	1.0664	
245	1.0844	
246	1.0784	
247	1.0784	
248	1.0784	
249	1.0784	
250	1.0784	
251	1.0724	
252	1.0844	
253	1.0844	
254	1.0784	
255	1.0784	
256	1.0844	
257	1.0784	
258	1.0844	
259	1.0964	
260	1.0964	
261	1.0844	
262	1.0904	
263	1.0844	
264	1.1024	
265	1.0964	
266	1.1024	
267	1.1144	
268	1.1144	
269	1.1144	
270	1.1204	
271	1.1264	
272	1.1084	
273	1.1264	
274	1.1204	
275	1.1144	
276	1.1204	
277	1.1204	
278	1.1264	
279	1.1324	
280	1.1144	
281	1.1144	
282	1.1204	
283	1.1144	
284	1.1144	
285	1.1084	
286	1.1084	
287	1.1084	
288	1.1204	
289	1.1144	
290	1.1144	
291	1.1144	
292	1.1144	
293	1.1264	
294	1.1204	
295	1.1264	
296	1.1204	
297	1.1144	
298	1.1144	
299	1.1204	
300	1.1144	
301	1.1144	
302	1.1144	
303	1.1084	
304	1.1084	
305	1.1144	
306	1.1204	
307	1.1084	
308	1.1024	
309	1.1084	
310	1.1084	
311	1.1084	
312	1.1204	
313	1.1084	
314	1.1084	
315	1.0964	
316	1.1024	
317	1.1024	
318	1.1144	
319	1.1084	
320	1.1084	
321	1.1084	
322	1.0904	
323	1.1084	
324	1.1084	
325	1.1084	
326	1.0964	
327	1.1024	
328	1.0904	
329	1.0904	
330	1.0904	
331	1.0904	
332	1.0784	
333	1.0724	
334	1.0784	
335	1.0844	
336	1.0844	
337	1.0784	
338	1.0844	
339	1.0724	
340	1.0604	
341	1.0604	
342	1.0664	
343	1.0664	
344	1.0664	
345	1.0544	
346	1.0484	
347	1.0544	
348	1.0664	
349	1.0484	
350	1.0484	
351	1.0424	
352	1.0424	
353	1.0424	
354	1.0244	
355	1.0364	
356	1.0244	
357	1.0004	
358	0.9884	
359	0.9764	

Volume	PCYL1	
cm3	bar	
51.98	0.9524	
52.03	0.9164	
52.18	0.8684	
52.43	0.8264	
52.77	0.7724	
53.22	0.7244	
53.76	0.6764	
54.41	0.6164	
55.15	0.5684	
55.98	0.5024	
56.92	0.4604	
57.95	0.4124	
59.08	0.3944	
60.30	0.3584	
61.62	0.3284	
63.04	0.3224	
64.54	0.2984	
66.14	0.3044	
67.84	0.2984	
69.62	0.2984	
71.49	0.2864	
73.46	0.2744	
75.51	0.2684	
77.65	0.2744	
79.87	0.2624	
82.19	0.2564	
84.58	0.2564	
87.06	0.2444	
89.62	0.2444	
92.26	0.2504	
94.98	0.2504	
97.77	0.2564	
100.65	0.2624	
103.59	0.2564	
106.62	0.2564	
109.71	0.2744	
112.87	0.2924	
116.11	0.2984	
119.41	0.3044	
122.78	0.2984	
126.21	0.3164	
129.70	0.3284	
133.25	0.3284	
136.87	0.3464	
140.54	0.3344	
144.26	0.3344	
148.04	0.3404	
151.87	0.3644	
155.76	0.3584	
159.69	0.3584	
163.66	0.3464	
167.69	0.3584	
171.75	0.3584	
175.86	0.3584	
180.00	0.3644	
184.18	0.3644	
188.40	0.3644	
192.65	0.3584	
196.93	0.3704	
201.24	0.3644	
205.58	0.3584	
209.95	0.3584	
214.34	0.3644	
218.75	0.3464	
223.18	0.3404	
227.62	0.3464	
232.09	0.3344	
236.56	0.3344	
241.06	0.3284	
245.56	0.3224	
250.07	0.3104	
254.58	0.3104	
259.10	0.3164	
263.63	0.3104	
268.15	0.3164	
272.68	0.3044	
277.20	0.2984	
281.72	0.2804	
286.23	0.2864	
290.74	0.2924	
295.23	0.2864	
299.72	0.2804	
304.19	0.2744	
308.65	0.2864	
313.10	0.2924	
317.53	0.2924	
321.94	0.2744	
326.32	0.2864	
330.69	0.2804	
335.04	0.2744	
339.36	0.2984	
343.66	0.2924	
347.93	0.2864	
352.17	0.2924	
356.38	0.2924	
360.56	0.2984	
364.71	0.3104	
368.83	0.3164	
372.92	0.2984	
376.97	0.3044	
380.98	0.3044	
384.96	0.3104	
388.90	0.3284	
392.80	0.3224	
396.66	0.3104	
400.48	0.3224	
404.26	0.3344	
408.00	0.3284	
411.70	0.3404	
415.35	0.3344	
418.96	0.3284	
422.52	0.3404	
426.04	0.3284	
429.51	0.3464	
432.94	0.3464	
436.31	0.3404	
439.64	0.3404	
442.93	0.3464	
446.16	0.3344	
449.35	0.3464	
452.49	0.3524	
455.57	0.3584	
458.61	0.3524	
461.60	0.3464	
464.53	0.3464	
467.42	0.3464	
470.25	0.3464	
473.04	0.3404	
475.77	0.3404	
