Crank Angle	PCYL1	
deg	bar	
-360	0.8978	
-359	0.8618	
-358	0.8018	
-357	0.7478	
-356	0.6938	
-355	0.6278	
-354	0.5738	
-353	0.5198	
-352	0.4658	
-351	0.4298	
-350	0.3818	
-349	0.3638	
-348	0.3338	
-347	0.3278	
-346	0.3098	
-345	0.3038	
-344	0.2918	
-343	0.2918	
-342	0.3098	
-341	0.3158	
-340	0.3038	
-339	0.3098	
-338	0.3218	
-337	0.3158	
-336	0.3458	
-335	0.3518	
-334	0.3518	
-333	0.3638	
-332	0.3758	
-331	0.3818	
-330	0.3878	
-329	0.3938	
-328	0.3938	
-327	0.3878	
-326	0.3878	
-325	0.3998	
-324	0.4058	
-323	0.3938	
-322	0.3938	
-321	0.3878	
-320	0.3878	
-319	0.3878	
-318	0.3758	
-317	0.3818	
-316	0.3638	
-315	0.3638	
-314	0.3338	
-313	0.3398	
-312	0.3398	
-311	0.3338	
-310	0.3338	
-309	0.3098	
-308	0.3218	
-307	0.3278	
-306	0.3338	
-305	0.3338	
-304	0.3278	
-303	0.3278	
-302	0.3338	
-301	0.3338	
-300	0.3458	
-299	0.3518	
-298	0.3578	
-297	0.3578	
-296	0.3638	
-295	0.3698	
-294	0.3698	
-293	0.3878	
-292	0.3698	
-291	0.3698	
-290	0.3878	
-289	0.3938	
-288	0.3938	
-287	0.3938	
-286	0.3818	
-285	0.3758	
-284	0.3758	
-283	0.3758	
-282	0.3698	
-281	0.3698	
-280	0.3638	
-279	0.3638	
-278	0.3458	
-277	0.3518	
-276	0.3458	
-275	0.3458	
-274	0.3518	
-273	0.3338	
-272	0.3458	
-271	0.3458	
-270	0.3398	
-269	0.3398	
-268	0.3338	
-267	0.3398	
-266	0.3338	
-265	0.3338	
-264	0.3398	
-263	0.3398	
-262	0.3398	
-261	0.3338	
-260	0.3458	
-259	0.3458	
-258	0.3638	
-257	0.3578	
-256	0.3458	
-255	0.3458	
-254	0.3518	
-253	0.3578	
-252	0.3758	
-251	0.3698	
-250	0.3638	
-249	0.3578	
-248	0.3698	
-247	0.3638	
-246	0.3698	
-245	0.3698	
-244	0.3638	
-243	0.3638	
-242	0.3638	
-241	0.3638	
-240	0.3758	
-239	0.3698	
-238	0.3578	
-237	0.3518	
-236	0.3518	
-235	0.3638	
-234	0.3638	
-233	0.3578	
-232	0.3518	
-231	0.3518	
-230	0.3458	
-229	0.3458	
-228	0.3458	
-227	0.3578	
-226	0.3458	
-225	0.3398	
-224	0.3338	
-223	0.3458	
-222	0.3398	
-221	0.3398	
-220	0.3398	
-219	0.3338	
-218	0.3518	
-217	0.3458	
-216	0.3578	
-215	0.3398	
-214	0.3458	
-213	0.3338	
-212	0.3458	
-211	0.3578	
-210	0.3518	
-209	0.3518	
-208	0.3398	
-207	0.3578	
-206	0.3518	
-205	0.3398	
-204	0.3578	
-203	0.3578	
-202	0.3458	
-201	0.3578	
-200	0.3518	
-199	0.3638	
-198	0.3638	
-197	0.3698	
-196	0.3638	
-195	0.3638	
-194	0.3638	
-193	0.3638	
-192	0.3698	
-191	0.3638	
-190	0.3638	
-189	0.3518	
-188	0.3638	
-187	0.3578	
-186	0.3578	
-185	0.3638	
-184	0.3578	
-183	0.3638	
-182	0.3578	
-181	0.3398	
-180	0.3638	
-179	0.3578	
-178	0.3518	
-177	0.3398	
-176	0.3398	
-175	0.3458	
-174	0.3518	
-173	0.3518	
-172	0.3518	
-171	0.3518	
-170	0.3518	
-169	0.3578	
-168	0.3638	
-167	0.3638	
-166	0.3578	
-165	0.3638	
-164	0.3638	
-163	0.3758	
-162	0.3818	
-161	0.3758	
-160	0.3878	
-159	0.3818	
-158	0.3818	
-157	0.3878	
-156	0.3938	
-155	0.3878	
-154	0.3938	
-153	0.3938	
-152	0.3938	
-151	0.3998	
-150	0.4058	
-149	0.3998	
-148	0.3938	
-147	0.3878	
-146	0.3938	
-145	0.3938	
-144	0.3938	
-143	0.4118	
-142	0.3938	
-141	0.3938	
-140	0.3938	
-139	0.3938	
-138	0.3938	
-137	0.3998	
-136	0.4058	
-135	0.3938	
-134	0.3998	
-133	0.3998	
-132	0.4178	
-131	0.3998	
-130	0.4058	
-129	0.4118	
-128	0.4178	
-127	0.4238	
-126	0.4238	
-125	0.4238	
-124	0.4358	
-123	0.4418	
-122	0.4238	
-121	0.4478	
-120	0.4478	
-119	0.4538	
-118	0.4658	
-117	0.4538	
-116	0.4478	
-115	0.4598	
-114	0.4718	
-113	0.4718	
-112	0.4778	
-111	0.4718	
-110	0.4898	
-109	0.4958	
-108	0.5078	
-107	0.4958	
-106	0.5198	
-105	0.5078	
-104	0.5318	
-103	0.5318	
-102	0.5378	
-101	0.5438	
-100	0.5558	
-99	0.5558	
-98	0.5558	
-97	0.5558	
-96	0.5558	
-95	0.5738	
-94	0.5798	
-93	0.5858	
-92	0.5858	
-91	0.5918	
-90	0.6038	
-89	0.5918	
-88	0.6158	
-87	0.6218	
-86	0.6218	
-85	0.6398	
-84	0.6518	
-83	0.6578	
-82	0.6818	
-81	0.6998	
-80	0.7178	
-79	0.7478	
-78	0.7958	
-77	0.8138	
-76	0.8198	
-75	0.8438	
-74	0.8618	
-73	0.8858	
-72	0.9218	
-71	0.9398	
-70	0.9398	
-69	0.9758	
-68	0.9878	
-67	1.0358	
-66	1.0538	
-65	1.0778	
-64	1.1018	
-63	1.1318	
-62	1.1618	
-61	1.1918	
-60	1.2218	
-59	1.2578	
-58	1.2938	
-57	1.3298	
-56	1.3598	
-55	1.4078	
-54	1.4678	
-53	1.5038	
-52	1.5458	
-51	1.5878	
-50	1.6538	
-49	1.6898	
-48	1.7498	
-47	1.8038	
-46	1.8638	
-45	1.9178	
-44	1.9838	
-43	2.0558	
-42	2.1338	
-41	2.2058	
-40	2.2718	
-39	2.3498	
-38	2.4338	
-37	2.5238	
-36	2.6138	
-35	2.7098	
-34	2.7998	
-33	2.9078	
-32	3.0158	
-31	3.1238	
-30	3.2378	
-29	3.3518	
-28	3.4658	
-27	3.5978	
-26	3.7178	
-25	3.8618	
-24	3.9878	
-23	4.1198	
-22	4.2578	
-21	4.3958	
-20	4.5338	
-19	4.6778	
-18	4.8158	
-17	4.9478	
-16	5.0678	
-15	5.2058	
-14	5.3198	
-13	5.4578	
-12	5.5778	
-11	5.6858	
-10	5.8058	
-9	5.9018	
-8	6.0098	
-7	6.1058	
-6	6.2138	
-5	6.2918	
-4	6.3818	
-3	6.4658	
-2	6.5618	
-1	6.6518	
0	6.7538	
1	6.8618	
2	6.9518	
3	7.0658	
4	7.1918	
5	7.3298	
6	7.4738	
7	7.6478	
8	7.8038	
9	7.9658	
10	8.1338	
11	8.3138	
12	8.4638	
13	8.6198	
14	8.7578	
15	8.8838	
16	9.0038	
17	9.1058	
18	9.2198	
19	9.2858	
20	9.3338	
21	9.3398	
22	9.3158	
23	9.2738	
24	9.1958	
25	9.0938	
26	8.9978	
27	8.8658	
28	8.7218	
29	8.5658	
30	8.4158	
31	8.2418	
32	8.0558	
33	7.8578	
34	7.6778	
35	7.4858	
36	7.2758	
37	7.0838	
38	6.8918	
39	6.6818	
40	6.4898	
41	6.2978	
42	6.1058	
43	5.9438	
44	5.7518	
45	5.5838	
46	5.4098	
47	5.2538	
48	5.1158	
49	4.9538	
50	4.8158	
51	4.6718	
52	4.5278	
53	4.4078	
54	4.3058	
55	4.1738	
56	4.0538	
57	3.9338	
58	3.8318	
59	3.7238	
60	3.6338	
61	3.5438	
62	3.4598	
63	3.3758	
64	3.2798	
65	3.2138	
66	3.1418	
67	3.0578	
